,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
1207,Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,,
1208,Urinary tract infection,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,,,
1209,Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,,
1210,Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
1211,Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
1212,Psoriasis,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,
1213,Psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,
1214,Psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails,
1215,Psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails,
1216,Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails,
1217,Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,
1218,Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
1219,Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
1220,Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,
1221,Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,
1222,Impetigo,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,,
1223,Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,,
1224,Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,,
1225,Impetigo,skin_rash,high_fever,red_sore_around_nose,yellow_crust_ooze,,
1226,Impetigo,skin_rash,high_fever,blister,yellow_crust_ooze,,
1227,Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,,
1228,Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,
1229,Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,,
1230,Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,
1231,Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,
1232,Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,
1233,Fungal infection,itching,skin_rash,dischromic_patches,,,
1234,Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,
1235,Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,
1236,Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,
1237,Fungal infection,itching,skin_rash,dischromic_patches,,,
1238,Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,
1239,Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,
1240,Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,
1241,Allergy,shivering,chills,watering_from_eyes,,,
1242,Allergy,continuous_sneezing,chills,watering_from_eyes,,,
1243,Allergy,continuous_sneezing,shivering,watering_from_eyes,,,
1244,Allergy,continuous_sneezing,shivering,chills,,,
1245,Allergy,shivering,chills,watering_from_eyes,,,
1246,Allergy,continuous_sneezing,chills,watering_from_eyes,,,
1247,Allergy,continuous_sneezing,shivering,watering_from_eyes,,,
1248,Allergy,continuous_sneezing,shivering,chills,,,
1249,Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,
1250,GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
1251,GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,
1252,GERD,stomach_pain,acidity,vomiting,cough,chest_pain,
1253,GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,
1254,GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,
1255,GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,
1256,GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,
1257,GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,
1258,GERD,stomach_pain,acidity,vomiting,cough,chest_pain,
1259,GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,
1260,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
1261,Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
1262,Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
1263,Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
1264,Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes
1265,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes
1266,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
1267,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
1268,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
1269,Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
1270,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_urination,
1271,Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,,
1272,Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,,
1273,Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,,
1274,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,
1275,Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_urination,,
1276,Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,,
1277,Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,,
1278,Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,,
1279,Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,
1280,Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,
1281,Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,
1282,Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,
1283,Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,
1284,Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,
1285,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,
1286,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,
1287,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,
1288,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
1289,Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
1290,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,
1291,AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,
1292,AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,
1293,AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,,,
1294,AIDS,muscle_wasting,patches_in_throat,high_fever,,,
1295,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,
1296,AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,
1297,AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,
1298,AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,
1299,AIDS,muscle_wasting,patches_in_throat,high_fever,,,
1300,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
1301,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
1302,Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
1303,Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
1304,Diabetes ,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity
1305,Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity
1306,Diabetes ,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity
1307,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity
1308,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
1309,Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision
1310,Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,
1311,Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,
1312,Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,
1313,Gastroenteritis,vomiting,dehydration,diarrhoea,,,
1314,Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,
1315,Gastroenteritis,vomiting,sunken_eyes,dehydration,,,
1316,Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,
1317,Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,
1318,Gastroenteritis,vomiting,dehydration,diarrhoea,,,
1319,Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,
1320,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
1321,Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,
1322,Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,
1323,Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,
1324,Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,
1325,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,
1326,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,
1327,Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
1328,Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,
1329,Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,
1330,Hypertension ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,
1331,Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,
1332,Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,,
1333,Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration,,
1334,Hypertension ,headache,chest_pain,dizziness,lack_of_concentration,,
1335,Hypertension ,headache,chest_pain,dizziness,loss_of_balance,,
1336,Hypertension ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,
1337,Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,
1338,Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,,
1339,Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration,,
1340,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
1341,Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
1342,Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
1343,Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression
1344,Migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression
1345,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression
1346,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression
1347,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
1348,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
1349,Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck
1350,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
1351,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
1352,Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,
1353,Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,
1354,Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,
1355,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,
1356,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,,
1357,Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
1358,Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,
1359,Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,
1360,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,
1361,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,
1362,Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,
1363,Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,
1364,Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,
1365,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,,,
1366,Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,
1367,Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,
1368,Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,
1369,Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,
1370,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
1371,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
1372,Jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
1373,Jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
1374,Jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine
1375,Jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
1376,Jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine
1377,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine
1378,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
1379,Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin
1380,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
1381,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
1382,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
1383,Malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea
1384,Malaria,chills,high_fever,sweating,headache,nausea,diarrhoea
1385,Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea
1386,Malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea
1387,Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea
1388,Malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea
1389,Malaria,chills,vomiting,high_fever,sweating,headache,nausea
1390,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
1391,Chicken pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite
1392,Chicken pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite
1393,Chicken pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite
1394,Chicken pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite
1395,Chicken pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite
1396,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite
1397,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
1398,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
1399,Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache
1400,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
1401,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
1402,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
1403,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever
1404,Dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache
1405,Dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache
1406,Dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache
1407,Dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache
1408,Dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache
1409,Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache
1410,Typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation
1411,Typhoid,chills,vomiting,fatigue,high_fever,headache,constipation
1412,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1413,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1414,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1415,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1416,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1417,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1418,Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea
1419,Typhoid,chills,fatigue,high_fever,headache,nausea,constipation
1420,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
1421,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
1422,hepatitis A,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
1423,hepatitis A,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
1424,hepatitis A,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain
1425,hepatitis A,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain
1426,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
1427,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain
1428,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
1429,hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
1430,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
1431,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
1432,Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
1433,Hepatitis B,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
1434,Hepatitis B,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain
1435,Hepatitis B,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain
1436,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain
1437,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain
1438,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
1439,Hepatitis B,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite
1440,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,
1441,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
1442,Hepatitis C,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,
1443,Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,
1444,Hepatitis C,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history,
1445,Hepatitis C,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history,
1446,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,
1447,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,
1448,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
1449,Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
1450,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
1451,Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite
1452,Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite
1453,Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite
1454,Hepatitis D,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite
1455,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite
1456,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite
1457,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
1458,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
1459,Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
1460,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
1461,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
1462,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
1463,Hepatitis E,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea
1464,Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea
1465,Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea
1466,Hepatitis E,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea
1467,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea
1468,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea
1469,Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine
1470,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
1471,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
1472,Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
1473,Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
1474,Alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
1475,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
1476,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload
1477,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload
1478,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
1479,Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption
1480,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
1481,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
1482,Tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness
1483,Tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness
1484,Tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness
1485,Tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness
1486,Tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness
1487,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness
1488,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
1489,Tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever
1490,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
1491,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
1492,Common Cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes
1493,Common Cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes
1494,Common Cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes
1495,Common Cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes
1496,Common Cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes
1497,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes
1498,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
1499,Common Cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache
1500,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
1501,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
1502,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
1503,Pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise
1504,Pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise
1505,Pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise
1506,Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise
1507,Pneumonia,chills,fatigue,cough,high_fever,sweating,malaise
1508,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise
1509,Pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating
1510,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
1511,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
1512,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
1513,Dimorphic hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,,
1514,Dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus,,
1515,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus,,
1516,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus,,
1517,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,,
1518,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
1519,Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
1520,Heart attack,vomiting,breathlessness,sweating,chest_pain,,
1521,Heart attack,vomiting,breathlessness,sweating,chest_pain,,
1522,Heart attack,breathlessness,sweating,chest_pain,,,
1523,Heart attack,vomiting,sweating,chest_pain,,,
1524,Heart attack,vomiting,breathlessness,chest_pain,,,
1525,Heart attack,vomiting,breathlessness,sweating,,,
1526,Heart attack,vomiting,breathlessness,sweating,chest_pain,,
1527,Heart attack,breathlessness,sweating,chest_pain,,,
1528,Heart attack,vomiting,sweating,chest_pain,,,
1529,Heart attack,vomiting,breathlessness,chest_pain,,,
1530,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
1531,Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels
